,Player,Pos
131,ikssu,Top
132,Lira,Jungle
133,Mickey,Middle
134,Sangyoon,ADC
135,SnowFlower,Support
136,Bdd,Middle
137,Bubbling,Jungle
138,Kramer,ADC
139,MadLife,Support
140,Sky,Middle
141,Untara,Top
142,Crush,Jungle
143,Edge,Middle
144,GuGer,Support
145,Hipo,Top
146,Roach,Top
147,Ssol,ADC
148,Chei,Support
149,Kuzan,Middle
150,Pilot,ADC
151,SoHwan,Top
152,TrAce,Top
153,Winged,Jungle
154,Crush,Jungle
155,Edge,Middle
156,GuGer,Support
157,Hipo,Top
158,Roach,Top
159,Ssol,ADC
160,Arrow,ADC
161,Fly,Middle
162,Hachani,Support
163,IgNar,Support
164,Score,Jungle
165,Ssumday,Top
166,Chaser,Jungle
167,Coco,Middle
168,Cpt Jack,ADC
169,Crash,Jungle
170,Expession,Top
171,Flame,Top
172,Frozen,Middle
173,Fury,ADC
174,Pure,Support
175,Zzus,Support
176,GorillA,Support
177,Kuro,Middle
178,Peanut,Jungle
179,PraY,ADC
180,Smeb,Top
181,Ambition,Jungle
182,CoreJJ,ADC
183,Crown,Middle
184,CuVee,Top
185,Stitch,ADC
186,Wraith,Support
187,Flawless,Jungle
188,Nuclear,ADC
189,SaSin,Middle
190,Secret,Support
191,SoaR,Top
192,Soul,Top
193,Bang,ADC
194,Bengi,Jungle
195,Blank,Jungle
196,Duke,Top
197,Faker,Middle
198,Scout,Middle
199,Wolf,Support
200,ikssu,Top
201,Lindarang,Top
202,Lira,Jungle
203,Mickey,Middle
204,Sangyoon,ADC
205,SeongHwan,Jungle
206,SnowFlower,Support
