,Player,Pos
268,Kramer,ADC
269,Kuro,Middle
270,MaRin,Top
271,Mowgli,Jungle
272,Spirit,Jungle
273,TusiN,Support
274,Bless,Jungle
275,Crazy,Top
276,Ghost,ADC
277,Part,Top
278,Tempt,Middle
279,Totoro,Support
280,ikssu,Top
281,Kuzan,Middle
282,Raise,Jungle
283,SnowFlower,Support
284,SoHwan,Top
285,Teddy,ADC
286,UmTi,Jungle
287,Edge,Middle
288,GuGer,Support
289,Punch,Jungle
290,Roach,Top
291,Secret,Support
292,Ssol,ADC
293,Deft,ADC
294,Mata,Support
295,PawN,Middle
296,Score,Jungle
297,Smeb,Top
298,Crash,Jungle
299,Expession,Top
300,Fly,Middle
301,GorillA,Support
302,PraY,ADC
303,ADD,Top
304,Beyond,Jungle
305,Ian,Middle
306,MaHa,ADC
307,Max,Support
308,Key,Support
309,Lindarang,Top
310,Mickey,Middle
311,Mightybear,Jungle
312,Sangyoon,ADC
313,SeongHwan,Jungle
314,Shy,Top
315,Ambition,Jungle
316,CoreJJ,Support
317,Crown,Middle
318,CuVee,Top
319,Haru,Jungle
320,Ruler,ADC
321,Stitch,ADC
322,Wraith,Support
323,Bang,ADC
324,Blank,Jungle
325,Faker,Middle
326,Huni,Top
327,Peanut,Jungle
328,Profit,Top
329,Wolf,Support
330,Kramer,ADC
331,Kuro,Middle
332,MaRin,Top
333,Mowgli,Jungle
334,Spirit,Jungle
335,TusiN,Support
336,Bless,Jungle
337,Crazy,Top
338,Ghost,ADC
339,Tempt,Middle
340,Totoro,Support
341,Cepted,Middle
342,DeuL,ADC
343,Ella,Support
344,Hachani,Jungle
345,Hachani,Support
346,Helper,Top
347,Kiin,Top
348,Malrang,Jungle
349,ikssu,Top
350,Kuzan,Middle
351,Raise,Jungle
352,SnowFlower,Support
353,SoHwan,Top
354,Teddy,ADC
355,UmTi,Jungle
356,Deft,ADC
357,Mata,Support
358,PawN,Middle
359,Score,Jungle
360,Smeb,Top
361,Bdd,Middle
362,Cuzz,Jungle
363,GorillA,Support
364,Khan,Top
365,PraY,ADC
366,Rascal,Top
367,ADD,Top
368,Beyond,Jungle
369,Ian,Middle
370,MaHa,ADC
371,Max,Support
372,Crow,Middle
373,Key,Support
374,Lava,Middle
375,Lindarang,Top
376,Mickey,Middle
377,Mightybear,Jungle
378,Sangyoon,ADC
379,SeongHwan,Jungle
380,Shy,Top
