,Player,Pos
394,Aiming,ADC
395,Kiin,Top
396,Kramer,ADC
397,Kuro,Middle
398,Mowgli,Jungle
399,Spirit,Jungle
400,TusiN,Support
401,bonO,Jungle
402,Crazy,Top
403,Ghost,ADC
404,IgNar,Support
405,Tempt,Middle
406,Trick,Jungle
407,Justice,Middle
408,SoHwan,Top
409,Teddy,ADC
410,UmTi,Jungle
411,Wraith,Support
412,Yaharong,Middle
413,Bdd,Middle
414,Cuzz,Jungle
415,GorillA,Support
416,Khan,Top
417,Peanut,Jungle
418,PraY,ADC
419,Rascal,Top
420,Edge,Middle
421,Raise,Jungle
422,Roach,Top
423,Secret,Support
424,Ssol,ADC
425,Wiz,Jungle
426,Ambition,Jungle
427,CoreJJ,Support
428,Crown,Middle
429,CuVee,Top
430,Haru,Jungle
431,Ruler,ADC
432,Deft,ADC
433,Mata,Support
434,PawN,Middle
435,Rush,Jungle
436,Score,Jungle
437,Smeb,Top
438,Ucal,Middle
439,ADD,Top
440,Beyond,Jungle
441,Ian,Middle
442,MaHa,ADC
443,Max,Support
444,Pilot,ADC
445,Key,Support
446,Kuzan,Middle
447,Lava,Middle
448,Lindarang,Top
449,Mightybear,Jungle
450,Sangyoon,ADC
451,SeongHwan,Jungle
452,Bang,ADC
453,Blank,Jungle
454,Blossom,Jungle
455,Effort,Support
456,Faker,Middle
457,Thal,Top
458,Untara,Top
459,Wolf,Jungle
460,Wolf,Support
461,Aiming,ADC
462,Kiin,Top
463,Kramer,ADC
464,Kuro,Middle
465,Mowgli,Jungle
466,Spirit,Jungle
467,TusiN,Support
468,bonO,Jungle
469,Crazy,Top
470,Ghost,ADC
471,IgNar,Support
472,Prince,ADC
473,Tempt,Middle
474,Trick,Jungle
475,Alphamong,Top
476,Ambition,Jungle
477,CoreJJ,Support
478,Crown,Middle
479,CuVee,Top
480,Fly,Middle
481,Haru,Jungle
482,Ruler,ADC
483,Chovy,Middle
484,Lehends,Support
485,Rather,Middle
486,Sword,Top
487,Tarzan,Jungle
488,Viper,ADC
489,Asper,Support
490,Clever,ADC
491,Hoon,Top
492,Key,Support
493,Kuzan,Middle
494,Lava,Middle
495,Lindarang,Top
496,Mightybear,Jungle
497,Sangyoon,ADC
498,SeongHwan,Jungle
499,Justice,Middle
500,KaKAO,Jungle
501,Nova,Support
502,SoHwan,Top
503,Teddy,ADC
504,UmTi,Jungle
505,Yaharong,Middle
506,Bdd,Middle
507,Cuzz,Jungle
508,GorillA,Support
509,Khan,Top
510,Peanut,Jungle
511,PraY,ADC
512,Rascal,Top
513,Deft,ADC
514,Kingen,Top
515,Mata,Support
516,PawN,Middle
517,Rush,Jungle
518,Score,Jungle
519,Smeb,Top
520,Ucal,Middle
