,Player,Pos
394,Aiming,ADC
395,Kiin,Top
396,Kramer,ADC
397,Kuro,Middle
398,Mowgli,Jungle
399,Spirit,Jungle
400,TusiN,Support
401,bonO,Jungle
402,Crazy,Top
403,Ghost,ADC
404,IgNar,Support
405,Tempt,Middle
406,Trick,Jungle
407,Justice,Middle
408,SoHwan,Top
409,Teddy,ADC
410,UmTi,Jungle
411,Wraith,Support
412,Yaharong,Middle
413,Bdd,Middle
414,Cuzz,Jungle
415,GorillA,Support
416,Khan,Top
417,Peanut,Jungle
418,PraY,ADC
419,Rascal,Top
420,Edge,Middle
421,Raise,Jungle
422,Roach,Top
423,Secret,Support
424,Ssol,ADC
425,Wiz,Jungle
