,Player,Pos
539,Aiming,ADC
540,ALL IN,Middle
541,Dread,Jungle
542,Hoon,Middle
543,Jelly,Support
544,Keshi,Support
545,Kiin,Top
546,Proud,Support
547,Spirit,ADC
548,Spirit,Jungle
549,Spirit,Support
550,Ssol,ADC
551,Ucal,Middle
552,BeryL,Support
553,Canyon,Jungle
554,Flame,Top
555,Hoit,Support
556,Nuclear,ADC
557,Nuguri,Top
558,Prince,ADC
559,Punch,Jungle
560,ShowMaker,Middle
561,CuVee,Top
562,Fly,Middle
563,Life,Support
564,Peanut,Jungle
565,Roach,Middle
566,Roach,Top
567,Ruler,ADC
568,Chovy,Middle
569,Lehends,Support
570,Sword,Top
571,Tarzan,Jungle
572,Viper,ADC
573,bonO,Jungle
574,Key,Support
575,Lava,Middle
576,MooJin,Jungle
577,Sangyoon,ADC
578,SoHwan,Top
579,Tempt,Middle
580,Thal,Top
581,CheonGo,Middle
582,CheonGo,Top
583,Kellin,Support
584,Lindarang,Top
585,Malrang,Jungle
586,Nova,Support
587,Route,ADC
588,Seize,Jungle
589,Stitch,ADC
590,TaNa,Top
591,Yaharong,Middle
592,Cuzz,Jungle
593,Deft,ADC
594,Naehyun,Middle
595,PawN,Middle
596,Rascal,Top
597,TusiN,Support
598,Bdd,Middle
599,Gango,ADC
600,Kingen,Top
601,Score,Jungle
602,Smeb,Top
603,SnowFlower,Support
604,UmTi,Jungle
605,Zenit,ADC
606,Crush,Jungle
607,Dove,Middle
608,Ghost,ADC
609,Joker,Support
610,OnFleek,Jungle
611,Summit,Top
612,Wizer,Top
613,Clid,Jungle
614,Faker,Middle
615,Khan,Top
616,Mata,Support
617,Teddy,ADC
618,Aiming,ADC
619,Dread,Jungle
620,Keshi,Support
621,Kiin,Top
622,Ucal,Middle
623,BeryL,Support
624,Canyon,Jungle
625,Flame,Top
626,Hoit,Support
627,Nuclear,ADC
628,Nuguri,Top
629,Punch,Jungle
630,ShowMaker,Middle
631,CuVee,Top
632,Fly,Middle
633,Kuzan,Middle
634,Life,Support
635,Peanut,Jungle
636,Rich,Middle
637,Roach,Middle
638,Roach,Top
639,Ruler,ADC
640,SeongHwan,Jungle
641,Chovy,Middle
642,Doran,Top
643,Lehends,Support
644,Sword,Top
645,Tarzan,Jungle
646,Viper,ADC
647,bonO,Jungle
648,Key,Support
649,Lava,Middle
650,MooJin,Jungle
651,Sangyoon,ADC
652,SoHwan,Top
653,Tempt,Middle
654,Thal,Top
655,CheonGo,Middle
656,Kellin,Support
657,Lindarang,Top
658,Malrang,Jungle
659,Nova,Support
660,Route,ADC
661,Seize,Jungle
662,TaNa,Top
663,Yaharong,Middle
