,Player,Pos
689,ALL IN,Middle
690,Ben,Support
691,Dread,Jungle
692,Fly,Middle
693,Jelly,Support
694,Kiin,Top
695,Mystic,ADC
696,Spirit,Jungle
697,Ssol,ADC
698,Chovy,Middle
699,Chovy,Top
700,Deft,ADC
701,Doran,Top
702,Keria,Support
703,Pyosik,Jungle
704,SOLKA,Middle
705,BeryL,Support
706,Canyon,Jungle
707,Ghost,ADC
708,Hoit,Support
709,Nuclear,ADC
710,Nuguri,Top
711,ShowMaker,Middle
712,Bdd,Middle
713,Clid,Jungle
714,Kellin,Support
715,Life,Support
716,Rascal,Top
717,Ruler,ADC
718,Hoya,Top
719,Kabbie,Support
720,Naehyun,Middle
721,Sword,Top
722,Tarzan,Jungle
723,Ucal,Middle
724,Untara,Top
725,Viper,ADC
