,Player,Pos
689,ALL IN,Middle
690,Ben,Support
691,Dread,Jungle
692,Fly,Middle
693,Jelly,Support
694,Kiin,Top
695,Mystic,ADC
696,Spirit,Jungle
697,Ssol,ADC
698,Chovy,Middle
699,Chovy,Top
700,Deft,ADC
701,Doran,Top
702,Keria,Support
703,Pyosik,Jungle
704,SOLKA,Middle
705,BeryL,Support
706,Canyon,Jungle
707,Ghost,ADC
708,Hoit,Support
709,Nuclear,ADC
710,Nuguri,Top
711,ShowMaker,Middle
712,Bdd,Middle
713,Clid,Jungle
714,Kellin,Support
715,Life,Support
716,Rascal,Top
717,Ruler,ADC
718,Hoya,Top
719,Kabbie,Support
720,Naehyun,Middle
721,Sword,Top
722,Tarzan,Jungle
723,Ucal,Middle
724,Untara,Top
725,Viper,ADC
726,CuVee,Top
727,Haru,Jungle
728,Lava,ADC
729,Lava,Middle
730,Lehends,Support
731,Tempt,Middle
732,Vsta,ADC
733,Zenit,ADC
734,Aiming,ADC
735,bonO,Jungle
736,Kuro,Middle
737,Malrang,Jungle
738,Ray,Top
739,SoHwan,Top
740,TusiN,Support
741,Dove,Middle
742,FATE,Middle
743,GorillA,Support
744,Joker,Support
745,Leo,ADC
746,Lonely,Top
747,OnFleek,Jungle
748,Punch,Jungle
749,Route,ADC
750,Summit,Top
751,Cover,Middle
752,Flawless,Jungle
753,HyBriD,ADC
754,ikssu,Top
755,Keine,Middle
756,Mia,Support
757,Secret,Support
758,Trigger,ADC
759,Canna,Top
760,Cuzz,Jungle
761,Effort,Support
762,Ellim,Jungle
763,Faker,Middle
764,Roach,Top
765,Teddy,ADC
766,Ben,Support
767,Dread,Jungle
768,Fly,Middle
769,Jelly,Support
770,Kiin,Top
771,Mystic,ADC
772,Spirit,Jungle
773,Chovy,Middle
774,Deft,ADC
775,Doran,Top
776,Keria,Support
777,Pyosik,Jungle
778,BeryL,Support
779,Canyon,Jungle
780,Ghost,ADC
781,Nuguri,Top
782,ShowMaker,Middle
783,Bdd,Middle
784,Clid,Jungle
785,Kellin,Support
786,Life,Support
787,Rascal,Top
788,Ruler,ADC
789,CaD,Jungle
790,CuVee,Top
791,DuDu,Top
792,Haru,Jungle
793,Lava,Middle
794,Lehends,Support
795,Mireu,Middle
796,Viper,ADC
797,YoungJae,Jungle
798,Aiming,ADC
799,bonO,Jungle
800,Kuro,Middle
801,Malrang,Jungle
802,Smeb,Support
803,Smeb,Top
804,SoHwan,Top
805,TusiN,Support
806,Ucal,Middle
807,Dove,Middle
808,FATE,Middle
809,GorillA,Support
810,Kabbie,Support
811,OnFleek,Jungle
812,Route,ADC
813,Summit,Top
814,Flawless,Jungle
815,HyBriD,ADC
816,ikssu,Top
817,Keine,Middle
818,Kuma,Jungle
819,Mia,Support
820,Mickey,Middle
821,Secret,Support
822,Trigger,ADC
