Year,Season,Champion,Pos,GP,P+B%,W%
15,Spring,Ahri,Middle,19,23.4,42
15,Spring,Alistar,Support,7,5.5,57
15,Spring,Anivia,Middle,1,1.6,100
15,Spring,Annie,Support,25,27.3,64
15,Spring,Azir,Middle,11,19.5,45
15,Spring,Blitzcrank,Support,1,0.8,100
15,Spring,Braum,Support,7,5.5,14
15,Spring,Caitlyn,ADC,3,2.3,33
15,Spring,Cassiopeia,Middle,10,28.1,50
15,Spring,Cho'Gath,Middle,5,5.5,60
15,Spring,Corki,ADC,79,71.9,49
15,Spring,Diana,Middle,4,3.1,50
15,Spring,Dr. Mundo,Jungle,1,14.8,100
15,Spring,Dr. Mundo,Top,14,14.8,36
15,Spring,Draven,ADC,1,0.8,0
15,Spring,Elise,Jungle,1,1.6,0
15,Spring,Ezreal,ADC,17,33.6,53
15,Spring,Ezreal,Middle,17,33.6,53
15,Spring,Fizz,Middle,3,12.5,33
15,Spring,Fizz,Top,1,12.5,100
15,Spring,Gnar,Top,49,55.5,57
15,Spring,Gragas,Jungle,1,0.8,0
15,Spring,Graves,ADC,15,11.7,47
15,Spring,Hecarim,Top,20,18.0,35
15,Spring,Irelia,Support,2,7.0,0
15,Spring,Irelia,Top,6,7.0,33
15,Spring,Janna,Support,67,72.7,57
15,Spring,Jarvan IV,Jungle,89,76.6,54
15,Spring,Jarvan IV,Middle,2,76.6,50
15,Spring,Jax,Top,1,0.8,100
15,Spring,Jayce,Middle,11,12.5,27
15,Spring,Jayce,Top,1,12.5,0
15,Spring,Jinx,ADC,1,0.8,0
15,Spring,Kalista,ADC,20,46.1,70
15,Spring,Karma,Support,1,0.8,100
15,Spring,Karthus,Middle,7,6.3,57
15,Spring,Kassadin,Middle,25,59.4,40
15,Spring,Kassadin,Top,7,59.4,57
15,Spring,Kayle,Support,1,0.8,0
15,Spring,Kennen,Middle,2,7.8,100
15,Spring,Kennen,Support,4,7.8,50
15,Spring,Kennen,Top,3,7.8,100
15,Spring,Kha'Zix,Jungle,2,1.6,0
15,Spring,Kog'Maw,ADC,21,18.0,33
15,Spring,LeBlanc,Middle,23,89.8,57
15,Spring,Lee Sin,Jungle,66,60.9,39
15,Spring,Leona,Support,18,14.1,44
15,Spring,Lissandra,Middle,20,75.8,65
15,Spring,Lissandra,Top,17,75.8,35
15,Spring,Lucian,ADC,18,14.1,39
15,Spring,Lulu,Middle,18,78.1,39
15,Spring,Lulu,Support,5,78.1,20
15,Spring,Lulu,Top,22,78.1,55
15,Spring,Lux,Middle,1,0.8,0
15,Spring,Malzahar,Middle,1,0.8,100
15,Spring,Maokai,Support,1,49.2,0
15,Spring,Maokai,Top,49,49.2,59
15,Spring,Morgana,Middle,3,32.8,0
15,Spring,Morgana,Support,17,32.8,47
15,Spring,Morgana,Top,6,32.8,50
15,Spring,Nami,Support,28,21.9,39
15,Spring,Nautilus,Jungle,2,8.6,0
15,Spring,Nautilus,Support,8,8.6,88
15,Spring,Nautilus,Top,1,8.6,0
15,Spring,Nidalee,Jungle,12,19.5,42
15,Spring,Nidalee,Top,1,19.5,100
15,Spring,Nunu & Willump,Jungle,14,14.1,50
15,Spring,Orianna,Middle,5,3.9,40
15,Spring,Pantheon,Jungle,3,2.3,67
15,Spring,Rek'Sai,Jungle,32,83.6,56
15,Spring,Rek'Sai,Top,1,83.6,100
15,Spring,Renekton,Top,3,3.1,0
15,Spring,Rengar,Jungle,10,14.8,50
15,Spring,Rengar,Top,1,14.8,0
15,Spring,Rumble,Top,44,68.8,50
15,Spring,Sejuani,Jungle,16,14.8,69
15,Spring,Sejuani,Support,1,14.8,0
15,Spring,Sion,Middle,1,8.6,100
15,Spring,Sion,Top,7,8.6,43
15,Spring,Sivir,ADC,58,49.2,62
15,Spring,Syndra,Middle,3,3.1,33
15,Spring,Syndra,Support,1,3.1,100
15,Spring,Thresh,Support,58,57.0,45
15,Spring,Tristana,ADC,15,11.7,27
15,Spring,Trundle,Top,1,0.8,0
15,Spring,Twisted Fate,Middle,5,7.0,60
15,Spring,Twitch,ADC,3,2.3,0
15,Spring,Udyr,Jungle,1,1.6,100
15,Spring,Urgot,ADC,4,19.5,100
15,Spring,Urgot,Middle,2,19.5,0
15,Spring,Vayne,ADC,1,0.8,0
15,Spring,Veigar,Support,4,21.9,75
15,Spring,Vi,Jungle,6,4.7,67
15,Spring,Viktor,Middle,11,12.5,82
15,Spring,Vladimir,Middle,6,6.3,83
15,Spring,Vladimir,Top,1,6.3,0
15,Spring,Xerath,Middle,35,57.8,46
15,Spring,Yasuo,Middle,1,0.8,0
15,Spring,Zed,Middle,4,7.0,75
15,Summer,Ahri,Middle,18,13.8,50
15,Summer,Alistar,Support,123,86.2,55
15,Summer,Annie,Support,45,46.1,58
15,Summer,Ashe,ADC,3,1.4,100
15,Summer,Azir,Middle,75,69.1,55
15,Summer,Bard,Support,6,6.9,50
15,Summer,Braum,Support,42,23.5,50
15,Summer,Cassiopeia,Middle,38,35.0,55
15,Summer,Corki,ADC,106,49.3,43
15,Summer,Dr. Mundo,Top,4,2.3,25
15,Summer,Draven,ADC,2,0.9,0
15,Summer,Ekko,Jungle,19,13.4,53
15,Summer,Ekko,Middle,5,13.4,40
15,Summer,Elise,Jungle,11,12.0,82
15,Summer,Evelynn,Jungle,72,45.6,49
15,Summer,Ezreal,ADC,11,23.5,55
15,Summer,Ezreal,Middle,19,23.5,58
15,Summer,Fizz,Jungle,3,17.1,0
15,Summer,Fizz,Middle,5,17.1,40
15,Summer,Fizz,Top,21,17.1,57
15,Summer,Galio,Top,1,0.5,0
15,Summer,Gnar,Top,54,32.7,37
15,Summer,Gragas,Jungle,92,91.2,47
15,Summer,Gragas,Top,2,91.2,0
15,Summer,Graves,ADC,2,1.4,50
15,Summer,Hecarim,Top,47,28.6,43
15,Summer,Irelia,Middle,3,3.2,67
15,Summer,Irelia,Top,3,3.2,67
15,Summer,Janna,Support,56,26.7,45
15,Summer,Jarvan IV,Jungle,6,4.1,33
15,Summer,Jarvan IV,Middle,1,4.1,100
15,Summer,Jax,Top,2,0.9,50
15,Summer,Jayce,Middle,5,2.8,40
15,Summer,Jinx,ADC,15,6.9,33
15,Summer,Kalista,ADC,21,99.5,57
15,Summer,Karma,Middle,1,1.8,0
15,Summer,Karma,Support,2,1.8,50
15,Summer,Karma,Top,1,1.8,0
15,Summer,Kassadin,Middle,14,6.9,64
15,Summer,Kassadin,Top,1,6.9,0
15,Summer,Kayle,Middle,1,0.5,0
15,Summer,Kennen,Support,11,6.5,64
15,Summer,Kennen,Top,1,6.5,0
15,Summer,Kog'Maw,ADC,40,23.0,55
15,Summer,Kog'Maw,Middle,1,23.0,100
15,Summer,LeBlanc,Middle,20,35.5,40
15,Summer,Lee Sin,Jungle,37,17.5,43
15,Summer,Leona,Support,4,1.8,75
15,Summer,Lissandra,Middle,1,0.5,100
15,Summer,Lucian,ADC,50,24.4,52
15,Summer,Lulu,Middle,25,18.9,36
15,Summer,Lulu,Support,1,18.9,0
15,Summer,Lulu,Top,2,18.9,50
15,Summer,Lux,Middle,1,0.5,0
15,Summer,Maokai,Top,122,73.3,58
15,Summer,Master Yi,Middle,2,0.9,100
15,Summer,Morgana,Middle,1,3.7,0
15,Summer,Morgana,Support,6,3.7,33
15,Summer,Morgana,Top,1,3.7,100
15,Summer,Nami,Support,1,0.5,0
15,Summer,Nautilus,Support,56,31.3,45
15,Summer,Nautilus,Top,5,31.3,60
15,Summer,Nidalee,Jungle,28,24.9,46
15,Summer,Nunu & Willump,Jungle,13,7.8,77
15,Summer,Nunu & Willump,Support,1,7.8,0
15,Summer,Nunu & Willump,Top,1,7.8,100
15,Summer,Olaf,Jungle,2,2.3,100
15,Summer,Olaf,Top,2,2.3,50
15,Summer,Orianna,Middle,11,5.1,45
15,Summer,Rek'Sai,Jungle,123,84.8,51
15,Summer,Rek'Sai,Top,3,84.8,0
15,Summer,Renekton,Top,2,0.9,0
15,Summer,Rengar,Jungle,4,1.8,50
15,Summer,Riven,Top,9,6.0,67
15,Summer,Rumble,Top,94,61.3,51
15,Summer,Ryze,Middle,4,72.4,75
15,Summer,Ryze,Top,18,72.4,50
15,Summer,Sejuani,Jungle,23,18.9,48
15,Summer,Shen,Support,1,18.4,100
15,Summer,Shen,Top,28,18.4,54
15,Summer,Shyvana,Top,5,3.7,40
15,Summer,Sivir,ADC,118,65.0,56
15,Summer,Thresh,Support,77,48.8,45
15,Summer,Tristana,ADC,12,6.0,25
15,Summer,Trundle,Jungle,1,0.5,100
15,Summer,Twisted Fate,Middle,25,25.3,64
15,Summer,Twitch,ADC,1,0.5,0
15,Summer,Urgot,ADC,5,3.7,60
15,Summer,Urgot,Middle,1,3.7,0
15,Summer,Varus,ADC,1,17.5,0
