Champion,Pos,W%,P%,Tier
Fiora,Top,50.59,10.89,1
Aatrox,Top,50.9,13.45,1
Camille,Top,50.72,11.03,1
Darius,Top,50.89,8.44,1
Poppy,Top,52.79,3.32,1
Sett,Top,50.4,10.95,2
Quinn,Top,53.82,1.64,2
Tahm Kench,Top,51.46,3.15,2
Tryndamere,Top,50.52,4.1,2
Riven,Top,51.7,5.49,2
Akshan,Top,53.03,0.89,2
Lillia,Top,51.41,3.76,2
Vayne,Top,50.47,4.28,2
Malphite,Top,49.62,5.41,2
Jax,Top,50.3,5.06,2
Graves,Top,50.35,4.01,2
Heimerdinger,Top,53.13,1.16,2
Wukong,Top,51.98,2.54,2
Kennen,Top,49.61,5.56,2
Irelia,Top,47.41,9.87,3
Shen,Top,51.23,3.74,3
Singed,Top,52.28,1.78,3
Sylas,Top,48.68,7.59,3
Teemo,Top,49.83,3.36,3
Rengar,Top,51.56,1.56,3
Ornn,Top,51.4,3.4,3
Kled,Top,51.41,2.01,3
Gnar,Top,50.13,3.1,3
Cassiopeia,Top,53.01,0.69,3
Gangplank,Top,49.41,2.85,3
Garen,Top,49.74,3.22,4
Yasuo,Top,50.47,1.42,4
Pantheon,Top,52.28,0.76,4
Urgot,Top,51.46,1.72,4
Yone,Top,48.16,4.37,4
Nasus,Top,50.95,1.57,4
Mordekaiser,Top,48.9,3.23,4
Jayce,Top,46.43,6.38,4
Maokai,Top,50.23,1.17,4
Volibear,Top,49.11,1.52,4
Sion,Top,50.41,1.46,4
Trundle,Top,50.76,0.81,4
Vladimir,Top,49.99,1.2,5
Renekton,Top,47.52,1.71,5
Illaoi,Top,49.43,0.94,5
Akali,Top,46.75,3.39,5
Kayle,Top,49.76,1.22,5
Rumble,Top,49.59,0.96,5
Gwen,Top,46.52,2.15,5
Warwick,Top,49.56,1,5
Dr.Mundo,Top,49.56,0.78,5
Cho'Gath,Top,50.99,0.6,5
Yorick,Top,48.3,0.77,5
Ryze,Top,46.45,1.52,5
Zac,Top,47.62,0.62,5
Gragas,Top,47.05,0.66,5
Graves,Jungle,51.09,21.01,1
Lee Sin,Jungle,49.6,27.24,1
Elise,Jungle,51.45,7.14,1
Talon,Jungle,50,8.81,1
Nidalee,Jungle,49.75,12.9,2
Karthus,Jungle,51.99,3.27,2
Ekko,Jungle,50.1,11.29,2
