gameid,league,year,split,date,playerid,side,position,player,team,champion,result,dragons,barons,towers
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,1,1,Top,Duke,NaJin e-mFire,Rumble,1,,,
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,2,1,Jungle,Watch,NaJin e-mFire,Jarvan IV,1,,,
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,3,1,Middle,Ggoong,NaJin e-mFire,Zed,1,,,
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,4,1,ADC,Ohq,NaJin e-mFire,Sivir,1,,,
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,5,1,Support,Cain,NaJin e-mFire,Annie,1,,,
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,6,0,Top,MaRin,SK Telecom T1,Dr. Mundo,0,,,
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,7,0,Jungle,Bengi,SK Telecom T1,Lee Sin,0,,,
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,8,0,Middle,Faker,SK Telecom T1,Xerath,0,,,
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,9,0,ADC,Bang,SK Telecom T1,Tristana,0,,,
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,10,0,Support,Wolf,SK Telecom T1,Thresh,0,,,
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,100,1,team,,NaJin e-mFire,,1,0.0,1.0,10.0
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,200,0,team,,SK Telecom T1,,0,0.0,0.0,4.0
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,1,1,Top,MaRin,SK Telecom T1,Maokai,1,,,
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,2,1,Jungle,Bengi,SK Telecom T1,Lee Sin,1,,,
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,3,1,Middle,Easyhoon,SK Telecom T1,Xerath,1,,,
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,4,1,ADC,Bang,SK Telecom T1,Corki,1,,,
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,5,1,Support,Wolf,SK Telecom T1,Janna,1,,,
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,6,0,Top,Duke,NaJin e-mFire,Dr. Mundo,0,,,
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,7,0,Jungle,Watch,NaJin e-mFire,Jarvan IV,0,,,
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,8,0,Middle,Ggoong,NaJin e-mFire,Jayce,0,,,
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,9,0,ADC,Ohq,NaJin e-mFire,Tristana,0,,,
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,10,0,Support,Cain,NaJin e-mFire,Nami,0,,,
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,100,1,team,,SK Telecom T1,,1,0.0,1.0,10.0
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,200,0,team,,NaJin e-mFire,,0,0.0,0.0,2.0
TRKR1/450041,LCK,2015,Spring,2015-01-07 11:17:59,1,1,Top,Duke,NaJin e-mFire,Rumble,0,,,
TRKR1/450041,LCK,2015,Spring,2015-01-07 11:17:59,2,1,Jungle,Watch,NaJin e-mFire,Kha'Zix,0,,,
TRKR1/450041,LCK,2015,Spring,2015-01-07 11:17:59,3,1,Middle,Ggoong,NaJin e-mFire,Ahri,0,,,
TRKR1/450041,LCK,2015,Spring,2015-01-07 11:17:59,4,1,ADC,Ohq,NaJin e-mFire,Kalista,0,,,
TRKR1/450041,LCK,2015,Spring,2015-01-07 11:17:59,5,1,Support,Cain,NaJin e-mFire,Braum,0,,,
TRKR1/450041,LCK,2015,Spring,2015-01-07 11:17:59,6,0,Top,MaRin,SK Telecom T1,Maokai,1,,,
