gameid,league,year,split,date,playerid,side,position,player,team,champion,result,dragons,barons,towers,totalgold
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,100,1,team,none,NaJin e-mFire,none,1,0.0,1.0,10.0,63835
TRKR1/440018,LCK,2015,Spring,2015-01-07 08:56:44,200,0,team,none,SK Telecom T1,none,0,0.0,0.0,4.0,47504
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,100,1,team,none,SK Telecom T1,none,1,0.0,1.0,10.0,63981
TRKR1/450030,LCK,2015,Spring,2015-01-07 10:07:23,200,0,team,none,NaJin e-mFire,none,0,0.0,0.0,2.0,46347
TRKR1/450041,LCK,2015,Spring,2015-01-07 11:17:59,100,1,team,none,NaJin e-mFire,none,0,0.0,0.0,1.0,38886
TRKR1/450041,LCK,2015,Spring,2015-01-07 11:17:59,200,0,team,none,SK Telecom T1,none,1,0.0,1.0,8.0,57584
TRKR1/450067,LCK,2015,Spring,2015-01-09 08:10:11,100,1,team,none,ROX Tigers,none,1,0.0,1.0,11.0,75740
TRKR1/450067,LCK,2015,Spring,2015-01-09 08:10:11,200,0,team,none,Incredible Miracle,none,0,0.0,1.0,4.0,61947
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,100,1,team,none,Incredible Miracle,none,0,0.0,0.0,2.0,55602
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,200,0,team,none,ROX Tigers,none,1,0.0,1.0,8.0,69539
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,100,1,team,none,Samsung Galaxy,none,0,0.0,0.0,3.0,60535
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,200,0,team,none,Jin Air Green Wings,none,1,0.0,1.0,10.0,81051
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,100,1,team,none,Jin Air Green Wings,none,0,0.0,1.0,9.0,70407
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,200,0,team,none,Samsung Galaxy,none,1,0.0,1.0,9.0,78656
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,100,1,team,none,Samsung Galaxy,none,0,0.0,0.0,4.0,53632
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,200,0,team,none,Jin Air Green Wings,none,1,0.0,1.0,11.0,68210
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,100,1,team,none,NaJin e-mFire,none,1,0.0,1.0,10.0,72408
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,200,0,team,none,KT Rolster,none,0,0.0,0.0,1.0,53902
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,100,1,team,none,KT Rolster,none,0,0.0,0.0,4.0,59738
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,200,0,team,none,NaJin e-mFire,none,1,0.0,1.0,10.0,69109
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,100,1,team,none,SK Telecom T1,none,0,0.0,0.0,4.0,66911
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,200,0,team,none,CJ Entus,none,1,0.0,2.0,9.0,78106
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,100,1,team,none,CJ Entus,none,1,0.0,1.0,9.0,56089
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,200,0,team,none,SK Telecom T1,none,0,0.0,0.0,3.0,44160
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,100,1,team,none,ROX Tigers,none,1,0.0,1.0,11.0,67027
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,200,0,team,none,Samsung Galaxy,none,0,0.0,0.0,3.0,48924
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,100,1,team,none,Samsung Galaxy,none,0,0.0,0.0,3.0,49107
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,200,0,team,none,ROX Tigers,none,1,0.0,1.0,14.0,69779
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,100,1,team,none,KT Rolster,none,0,0.0,1.0,3.0,57438
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,200,0,team,none,SK Telecom T1,none,1,0.0,0.0,9.0,68113
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,100,1,team,none,SK Telecom T1,none,1,0.0,1.0,8.0,67886
