Year,Season,Player,Team,Pos,W%,KDA,KP,DPM,Laning,Engage,Fight
15,Spring,Ace,Samsung Galaxy,Middle,40.0,2.1,67.3,478,0.4598493602113085,0.44075829383886256,0.08974358974358977
15,Spring,Ambition,CJ Entus,Jungle,63.0,4.0,72.1,229,0.6866204724887548,0.6682464454976302,0.33333333333333337
15,Spring,Ares,Incredible Miracle,Jungle,7.0,1.7,79.1,157,0.3168968833773303,1.0,0.03846153846153847
15,Spring,Arrow,KT Rolster,ADC,45.0,3.8,73.7,438,0.39225958818373646,0.7440758293838866,0.3076923076923077
15,Spring,Bang,SK Telecom T1,ADC,72.0,6.4,69.7,547,0.498219234713058,0.5545023696682467,0.6410256410256411
15,Spring,Bengi,SK Telecom T1,Jungle,65.0,3.1,68.3,158,0.23554263555837243,0.4881516587677725,0.217948717948718
15,Spring,BlisS,Samsung Galaxy,Middle,9.0,1.4,63.3,325,0.08578930970149794,0.2511848341232227,0.0
15,Spring,Cain,NaJin e-mFire,Support,35.0,2.4,63.5,128,0.5616733010391047,0.2606635071090048,0.12820512820512822
15,Spring,Chaser,Jin Air Green Wings,Jungle,55.0,4.7,77.9,162,0.4790190121294063,0.9431279620853086,0.4230769230769232
15,Spring,Chei,Jin Air Green Wings,Support,52.0,3.3,72.7,103,0.354417859878557,0.6966824644549766,0.2435897435897436
15,Spring,Coco,CJ Entus,Middle,63.0,4.7,69.2,571,0.6337225953246096,0.5308056872037917,0.4230769230769232
15,Spring,Cpt Jack,Jin Air Green Wings,ADC,75.0,4.4,68.0,510,0.39495770401427815,0.47393364928909965,0.38461538461538475
15,Spring,CuVee,Samsung Galaxy,Top,19.0,1.8,71.5,348,0.16545754976788105,0.6398104265402845,0.05128205128205131
15,Spring,Duke,NaJin e-mFire,Top,42.0,3.2,63.9,404,0.7193652772769933,0.2796208530805687,0.23076923076923084
15,Spring,Easyhoon,SK Telecom T1,Middle,75.0,9.2,71.0,533,0.735713550750139,0.6161137440758295,1.0
15,Spring,Eve,Samsung Galaxy,Jungle,19.0,2.3,73.9,264,0.4214630667065949,0.7535545023696687,0.11538461538461539
