"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",4,"1.9%","0.0%","1.9%","25%","-",5,11,13,1.6,"66.7%","25.0%","25%",-297,-233,-8.8,8.3,"25.1%",348,"24.7%","23.1%",0.58,0.29
"Alistar","Support",156,"72.6%","17.7%","90.2%","48%","-",50,349,1159,3.5,"73.1%","21.4%","26%",-53,18,1,1,"3.4%",80,"4.4%","10.3%",1.38,0.33
"Anivia","Middle",1,"0.5%","0.0%","0.5%","0%","-",0,2,0,0,"0.0%","13.3%","0%",-76,196,-1,9,"27.8%",490,"28.6%","24.6%",0.49,0
"Ashe","ADC",19,"8.8%","0.9%","9.8%","53%","-",61,41,100,3.9,"75.9%","20.2%","16%",-140,-91,-3.6,8.6,"28.2%",528,"28.1%","23.8%",0.46,0.26
"Azir","Middle",36,"16.7%","14.4%","31.2%","47%","-",88,90,152,2.7,"76.9%","23.6%","11%",-73,-62,0.1,8.7,"28.0%",549,"32.5%","23.5%",0.56,0.32
"Bard","Support",35,"16.3%","11.2%","27.4%","46%","-",28,62,207,3.8,"76.8%","18.0%","40%",49,-2,-7.2,0.7,"2.9%",182,"9.9%","11.0%",1.3,0.5
"Braum","Support",83,"38.6%","1.4%","40.0%","45%","-",40,180,533,3.2,"73.3%","19.9%","27%",40,-21,0.5,1.1,"4.1%",135,"7.7%","10.8%",1.34,0.37
"Caitlyn","ADC",6,"2.8%","1.4%","4.2%","50%","-",10,10,25,3.5,"71.4%","15.9%","17%",-30,-418,-0.7,9.1,"29.2%",471,"21.7%","24.0%",0.42,0.33
"Cassiopeia","Middle",7,"3.3%","0.5%","3.7%","43%","-",28,15,21,3.3,"71.0%","18.8%","14%",130,45,7.9,8.8,"27.4%",563,"30.8%","24.1%",0.64,0.27
"Corki","ADC",50,"23.3%","44.2%","87.9%","54%","-",139,89,202,3.8,"73.0%","16.5%","14%",-64,13,-0.1,9,"29.0%",572,"29.9%","24.4%",0.53,0.33
"Corki","Middle",44,"20.5%","44.2%","87.9%","57%","-",145,92,179,3.5,"71.7%","21.2%","25%",17,-21,4.9,9.2,"28.3%",694,"35.1%","24.5%",0.58,0.29
"Dr. Mundo","Jungle",1,"0.5%","0.0%","0.5%","0%","-",1,0,2,3,"75.0%","0.0%","0%",-121,503,5,5.7,"20.5%",401,"22.8%","21.5%",0.58,0.79
"Draven","ADC",1,"0.5%","0.0%","0.5%","0%","-",0,1,2,2,"66.7%","7.1%","100%",-180,-30,-12,7.7,"30.3%",296,"21.8%","24.5%",0.54,0.29
"Ekko","Middle",1,"0.5%","4.2%","11.2%","0%","-",2,1,3,5,"100.0%","10.0%","100%",-73,28,-5,6.9,"19.2%",281,"28.0%","20.5%",0.53,0.12
"Ekko","Top",14,"6.5%","4.2%","11.2%","50%","-",44,30,79,4.1,"65.8%","19.4%","21%",163,253,2.9,7.9,"26.7%",465,"22.1%","21.7%",0.48,0.1
"Elise","Jungle",117,"54.4%","4.7%","59.1%","50%","-",239,287,664,3.1,"72.6%","23.6%","38%",-55,-163,-4.7,3.9,"12.4%",307,"16.6%","18.6%",0.84,0.58
"Evelynn","Jungle",1,"0.5%","0.0%","0.5%","0%","-",0,5,3,0.6,"60.0%","27.8%","0%",-1189,-481,-3,2.9,"7.8%",170,"7.9%","13.0%",1.05,0.19
"Ezreal","ADC",47,"21.9%","0.5%","23.7%","40%","-",129,61,201,5.4,"70.2%","12.3%","21%",-47,13,-2.9,8.6,"27.6%",615,"31.8%","23.5%",0.51,0.23
"Ezreal","Middle",3,"1.4%","0.5%","23.7%","0%","-",3,3,3,2,"75.0%","10.7%","0%",-109,-24,-0.7,9.4,"28.8%",610,"45.2%","25.2%",0.51,0.36
"Fiora","Top",39,"18.1%","21.9%","40.0%","49%","-",100,94,124,2.4,"56.6%","24.1%","21%",-63,-42,0.4,8.4,"28.6%",374,"19.7%","22.8%",0.54,0.19
"Fizz","Middle",1,"0.5%","0.0%","0.5%","100%","-",1,3,6,2.3,"53.8%","75.0%","0%",335,693,18,7.6,"20.9%",251,"15.6%","19.4%",0.57,0.18
"Gangplank","Middle",10,"4.7%","47.0%","71.6%","40%","-",27,24,56,3.5,"69.2%","19.2%","40%",-111,-120,-9.2,8.8,"29.5%",556,"27.9%","26.4%",0.58,0.23
"Gangplank","Top",43,"20.0%","47.0%","71.6%","49%","-",100,95,198,3.1,"70.6%","19.8%","19%",259,89,1.7,8.3,"27.9%",547,"30.3%","25.3%",0.56,0.14
"Gnar","Top",19,"8.8%","0.0%","8.8%","58%","-",36,44,101,3.1,"67.5%","20.5%","11%",9,253,2.5,7.5,"24.8%",345,"19.4%","21.0%",0.51,0.17
"Gragas","Jungle",35,"16.3%","2.8%","23.3%","46%","-",55,76,210,3.5,"74.4%","18.8%","34%",-290,-153,-1.9,4.1,"13.1%",280,"16.1%","18.6%",0.84,0.49
"Gragas","Top",9,"4.2%","2.8%","23.3%","78%","-",23,9,59,9.1,"73.2%","11.8%","22%",-98,55,0.7,7.4,"22.5%",407,"20.1%","19.7%",0.49,0.11
"Graves","Jungle",77,"35.8%","13.5%","52.1%","57%","-",226,142,380,4.3,"71.8%","19.1%","43%",71,80,4.1,5.3,"17.4%",402,"20.9%","21.1%",0.72,0.62
"Graves","Top",6,"2.8%","13.5%","52.1%","67%","-",16,10,30,4.6,"66.7%","21.7%","33%",-106,-48,1.5,8.6,"29.3%",471,"23.8%","24.4%",0.56,0.2
