"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",4,"1.8%","67.9%","83.9%","100%","0%",17,3,21,12.7,"56.7%","10.3%","25%",53,210,-3.5,9.9,"28.7%",432,"20.8%","23.5%",0.48,0.34
"Aatrox","Top",31,"14.2%","67.9%","83.9%","65%","35%",107,42,124,5.5,"65.3%","17.0%","23%",106,82,0.8,9.7,"29.3%",449,"28.2%","25.8%",0.47,0.16
"Alistar","Support",57,"26.1%","17.0%","43.1%","51%","55%",37,139,329,2.6,"68.3%","24.7%","25%",-43,-18,1.7,1.7,"5.0%",103,"6.8%","9.0%",1.62,0.34
"Amumu","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",1,3,2,1,"100.0%","33.3%","100%",-152,-402,-17,4.5,"13.4%",145,"9.1%","15.2%",0.74,0.15
"Anivia","Middle",8,"3.7%","4.6%","8.3%","50%","100%",14,5,36,10,"73.5%","7.1%","13%",-42,-12,-0.4,10,"28.7%",336,"23.4%","25.0%",0.46,0.18
"Ashe","ADC",37,"17.0%","10.6%","27.5%","70%","68%",80,42,145,5.4,"67.6%","16.7%","14%",99,86,5.9,10.5,"30.1%",503,"29.9%","26.2%",0.41,0.44
"Aurelion Sol","Middle",7,"3.2%","2.3%","5.5%","57%","100%",29,11,27,5.1,"66.7%","15.9%","29%",146,-5,0.4,9.5,"26.1%",397,"23.6%","23.5%",0.41,0.27
"Azir","Middle",18,"8.3%","3.7%","11.9%","56%","36%",38,23,55,4,"63.7%","18.5%","11%",11,-4,2.8,10,"28.5%",404,"25.5%","25.2%",0.56,0.32
"Blitzcrank","Support",4,"1.8%","0.9%","2.8%","75%","75%",3,3,24,9,"62.8%","8.1%","50%",54,-137,10.8,1.6,"4.6%",113,"6.8%","9.3%",1.65,0.33
"Brand","Support",1,"0.5%","0.0%","0.5%","0%","100%",1,3,1,0.7,"40.0%","20.0%","0%",90,-77,-14,1.1,"5.7%",370,"28.0%","9.5%",0.75,0.42
"Braum","Jungle",6,"2.8%","9.6%","30.3%","33%","50%",1,14,40,2.9,"80.4%","20.9%","17%",-1184,-911,-42.2,2.1,"6.5%",89,"5.8%","9.8%",1.37,0.37
"Braum","Middle",4,"1.8%","9.6%","30.3%","50%","75%",1,8,21,2.8,"71.0%","23.5%","25%",-735,-720,-27.5,2,"5.5%",84,"5.9%","9.4%",0.79,0.33
"Braum","Support",35,"16.1%","9.6%","30.3%","37%","72%",14,75,166,2.4,"73.8%","21.1%","23%",-36,-17,1.9,2.1,"6.7%",131,"7.9%","10.4%",1.53,0.33
"Caitlyn","ADC",4,"1.8%","0.0%","1.8%","25%","100%",8,2,5,6.5,"65.0%","8.0%","25%",-3,182,2,10.6,"31.5%",617,"43.4%","28.5%",0.44,0.43
"Camille","Jungle",31,"14.2%","34.9%","58.3%","45%","34%",69,93,136,2.2,"63.9%","29.4%","35%",-21,-150,1.4,5.3,"14.3%",220,"13.9%","17.8%",0.37,0.49
"Camille","Top",20,"9.2%","34.9%","58.3%","45%","42%",42,54,51,1.7,"54.4%","25.1%","15%",-33,-18,3.3,9.1,"26.7%",393,"23.8%","23.3%",0.49,0.18
"Cassiopeia","Middle",2,"0.9%","0.0%","0.9%","0%","100%",1,8,5,0.8,"66.7%","25.8%","0%",-180,78,6.5,8.7,"25.1%",378,"31.9%","24.0%",0.42,0.19
"Cho'Gath","Top",30,"13.8%","3.2%","17.0%","50%","54%",58,48,92,3.1,"57.7%","20.5%","7%",-184,-95,-4.6,8.2,"22.3%",292,"19.5%","20.9%",0.54,0.17
"Corki","Middle",2,"0.9%","0.0%","0.9%","0%","100%",1,3,0,0.3,"33.3%","15.0%","0%",-93,103,-5.5,11,"30.7%",377,"26.2%","27.1%",0.56,0.3
"Darius","ADC",2,"0.9%","25.7%","44.0%","50%","50%",14,5,11,5,"67.6%","17.2%","50%",4,-570,-1.5,8,"23.3%",394,"19.9%","23.8%",0.6,0.34
"Darius","Middle",2,"0.9%","25.7%","44.0%","0%","100%",1,5,5,1.2,"75.0%","20.0%","0%",-323,-808,-9.5,8.7,"25.6%",187,"21.6%","22.3%",0.61,0.36
"Darius","Top",36,"16.5%","25.7%","44.0%","47%","53%",104,101,94,2,"60.2%","26.5%","28%",176,87,6.1,8.7,"26.1%",324,"21.1%","23.7%",0.49,0.17
"Dr. Mundo","Top",65,"29.8%","25.2%","55.0%","45%","27%",101,103,223,3.1,"61.1%","16.7%","9%",-216,-86,-5.1,8.9,"25.6%",423,"25.5%","22.9%",0.5,0.16
"Draven","ADC",1,"0.5%","0.0%","0.5%","0%","100%",3,3,4,2.3,"77.8%","17.6%","0%",4,52,6,10.7,"33.8%",443,"29.2%","32.8%",0.31,0.33
"Elise","Jungle",3,"1.4%","0.5%","1.8%","33%","100%",4,8,11,1.9,"71.4%","29.6%","67%",-75,-180,-9.3,4.8,"13.6%",173,"12.3%","17.1%",1.18,0.4
"Evelynn","Jungle",2,"0.9%","0.5%","1.4%","0%","100%",4,7,5,1.3,"52.9%","24.1%","50%",-156,-235,-10.5,4.3,"11.7%",288,"16.1%","15.7%",0.52,0.08
"Ezreal","ADC",91,"41.7%","23.4%","65.1%","54%","49%",245,110,373,5.6,"69.8%","13.3%","13%",259,-5,2.3,10.4,"30.5%",664,"36.8%","27.4%",0.49,0.3
"Fiddlesticks","Support",5,"2.3%","7.8%","10.1%","40%","80%",4,13,27,2.4,"70.5%","24.1%","40%",-155,-312,-4.4,0.9,"2.8%",228,"16.1%","8.9%",0.85,0.28
"Fizz","Middle",3,"1.4%","0.0%","1.4%","67%","100%",13,4,9,5.5,"68.8%","16.7%","33%",-337,-185,-18,8.8,"24.3%",340,"20.7%","24.4%",0.73,0.33
"Galio","Middle",35,"16.1%","12.4%","28.9%","60%","63%",93,55,196,5.3,"75.5%","17.0%","20%",-103,-30,-5.9,9.3,"26.6%",390,"21.6%","23.4%",0.51,0.17
"Galio","Support",1,"0.5%","12.4%","28.9%","0%","100%",0,4,6,1.5,"66.7%","25.0%","0%",61,412,1,3,"9.7%",146,"8.5%","11.3%",1.19,0.56
"Gangplank","ADC",2,"0.9%","20.2%","39.0%","50%","100%",2,1,6,8,"80.0%","9.1%","50%",340,-464,-1,9.8,"29.3%",338,"26.4%","26.6%",0.38,0.19
