"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"CJ Entus",46,27,19,38.5,632,581,1.09,0.68,0.2,"0.9%",,,69,"57%","72%","61%",,"54%","53%",,"46%","50%","50.2%","50.5%",3.17,0.52,1.16
"Incredible Miracle",42,12,30,39.7,451,623,0.72,0.64,-0.94,"-6.9%",,,-662,"43%","45%","38%",,"62%","48%",,"43%","41%","48.4%","48.7%",3.61,0.55,1.26
"Jin Air Green Wings",42,22,20,41.1,508,395,1.29,0.52,0.2,"0.7%",,,114,"57%","52%","48%",,"43%","49%",,"52%","54%","49.4%","49.8%",3.38,0.62,1.06
"KT Rolster",44,28,16,39,603,415,1.45,0.59,0.78,"5.9%",,,677,"68%","50%","55%",,"50%","55%",,"43%","48%","51.0%","50.3%",3.58,0.51,1.19
"NaJin e-mFire",45,26,19,39.9,612,498,1.23,0.62,0.55,"3.8%",,,584,"58%","58%","56%",,"49%","54%",,"62%","63%","50.0%","49.7%",3.43,0.49,1.17
"Rebels Anarchy",46,17,29,36.9,480,741,0.65,0.72,-0.41,"-4.6%",,,-215,"46%","46%","46%",,"22%","26%",,"39%","46%","49.8%","50.9%",3.26,0.57,1.18
"ROX Tigers",42,26,16,38.3,591,478,1.24,0.66,0.38,"4.1%",,,323,"57%","52%","60%",,"52%","59%",,"60%","55%","50.0%","50.8%",3.52,0.58,1.12
"Samsung Galaxy",43,16,27,39.4,476,588,0.81,0.63,-0.52,"-2.8%",,,-488,"35%","42%","47%",,"60%","51%",,"44%","42%","50.4%","48.6%",3.56,0.6,1.26
"SBENU Korea",43,8,35,38.1,353,682,0.52,0.63,-1.91,"-14.3%",,,-1597,"16%","19%","21%",,"44%","37%",,"21%","19%","48.2%","45.5%",3.38,0.48,1.08
"SK Telecom T1",41,35,6,35.9,673,390,1.73,0.72,1.79,"13.7%",,,1214,"63%","63%","71%",,"66%","70%",,"76%","82%","52.4%","55.4%",3.25,0.54,1.15
