"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",46,24,22,36.2,514,514,1,0.61,0.31,"2.0%",,,528,"57%","59%","59%","61%","59%","55%",,"46%","53%","50.3%","51.3%",3.36,0.66,1.69
"CJ Entus",46,19,27,40.6,451,531,0.85,0.53,-0.56,"-4.5%",,,-805,"41%","43%","20%","45%","33%","40%",,"43%","49%","49.4%","47.5%",3.74,0.69,1.66
"e-mFire",18,3,15,37.4,130,232,0.56,0.54,-0.98,"-10.6%",,,-674,"50%","56%","44%","38%","44%","48%",,"28%","24%","48.3%","46.5%",3.45,0.65,1.57
"Jin Air Green Wings",42,23,19,40.7,426,358,1.19,0.46,0.3,"0.5%",,,253,"52%","55%","50%","51%","60%","54%",,"52%","52%","49.3%","50.9%",3.81,0.82,1.79
"Kongdoo Monster",25,5,20,37.9,196,334,0.59,0.56,-0.98,"-7.9%",,,-800,"40%","36%","36%","35%","64%","48%",,"28%","27%","49.2%","47.2%",3.51,0.73,1.47
"KT Rolster",43,29,14,38.4,555,457,1.21,0.61,0.19,"2.0%",,,-2,"51%","49%","56%","66%","47%","56%",,"37%","51%","50.3%","50.6%",3.77,0.79,1.85
"Longzhu Gaming",43,21,22,39,425,417,1.02,0.5,0.51,"1.9%",,,412,"58%","44%","60%","58%","47%","50%",,"47%","53%","49.7%","51.4%",3.9,0.82,1.68
"ROX Tigers",41,34,7,33.4,624,359,1.74,0.72,1.37,"13.0%",,,1241,"78%","61%","76%","55%","51%","52%",,"63%","76%","51.0%","53.3%",3.49,0.65,1.46
"Samsung Galaxy",44,22,22,36.8,401,423,0.95,0.51,-0.12,"-0.2%",,,-123,"36%","41%","57%","39%","43%","46%",,"45%","53%","50.3%","50.8%",4.03,0.8,1.79
"SBENU Korea",41,9,32,37.3,288,516,0.56,0.53,-1.06,"-9.8%",,,-983,"39%","44%","37%","42%","44%","46%",,"32%","36%","49.5%","46.5%",3.86,0.85,1.75
"SK Telecom T1",41,26,15,36.5,489,369,1.33,0.57,0.25,"4.7%",,,279,"44%","61%","49%","48%","63%","55%",,"49%","57%","51.4%","50.9%",3.77,0.64,1.76
